path	bytes	sha256
.gitignore	96	0947b047afa2085ab13fb00b028ddded116b5714ffef342b765297b2149cbaf9
README.md	1349	11a486a1a9cc985b65e2e9b8e1e415afb216a43859d76ad1cf75f0f367d4bbfa
docs/GITHUB_UPLOAD.md	943	b59d2a36dbbd8f93bf760df4facd064391fd62370c9cf6d32710881e4ee3cb47
docs/RELEASE_AUDIT.md	357	7bacedbc56036039d4f57c02fc71efaffd3606bf5cbb8779efe4b21012c375b9
part1_production/configs/brain_publication_complete_v110.json	1803	c8e655b80326e38590721be0e437cb8da9842c7ac209aa2f07ec14972cd74220
part1_production/configs/brain_publication_pipeline_v1.json	1504	fb37c4472a0adefa981f1b423e82927e25228c3dfecb862bc1207037e5de67ea
part1_production/configs/fig3_discovery_v01.json	814	1a3da91bc5d52765ebd6e4612de5a0ac2f9c65d8beeccddd1ba5220add0c0929
part1_production/configs/five_sample_production.json	700	7dbdc18636424cafe78d311c85c05dafb9e48dd61fa48e5e3c48e2c0f37b2314
part1_production/configs/five_sample_study.json	970	b91ae0d075ba9eab1a4bebd316ee0d0a057de0e7f4b4814f859d5568caed2a09
part1_production/configs/full_geometry_mechanics.json	459	53971078f3271cb76b2e2f614cdd73aaa1e7e3a63e65e369b93bb7714e64bed8
part1_production/configs/gap_audit.json	146	6041c302a094612add56ec053985c83d5072764007c47797551b0fb770e07127
part1_production/configs/hierarchy_level0_step3_v070.json	587	fa5e6e709a50daff2c02dd8580987ec82ac5a36ffccf7c6b0b00447be402bc4c
part1_production/configs/hierarchy_mechanics_v0691.json	452	3f15e2b7b851eee3ae1de98a95be4f85afa0a12eaa50a3f475170f040723eaf7
part1_production/configs/hierarchy_v0711_resource_intake.json	584	9c6b10efabab9ec96c66159afcc0af69f4291b7751998bacf0f204286a93ffe1
part1_production/configs/hierarchy_v0712_cellchat_rdata.json	384	5d6bf63a1bd47d7059ac64da7c5bf25add461e406372dff49cd11da4cd2a1408
part1_production/configs/hierarchy_v071_active_blocks.json	1184	e89bf386ba7240071268ca933a1382f28b5fb097e1e24194e10a0e953ce2e00f
part1_production/configs/hierarchy_v072_short_pilot.json	509	f9b8ef197886c932e477750e10b15efde7635b1a89dbe3c055996bfdedc4e12f
part1_production/configs/hierarchy_v073_full.json	796	fdfbe260d6a2f46ab8bfdea72a9a2d241c2b65d989c3d5a7bc5f1df5f6a16f5b
part1_production/configs/hierarchy_v0741_comm_support.json	352	b2514c1731dc46a73a3e5383d8104f803d294936d3f8669411268a2c893883e4
part1_production/configs/hierarchy_v0742_supported_directional_comm.json	683	8edf87657e80b6e79a7081c5b6436f05f18a65063e6b5d439c947b772bdd349e
part1_production/configs/hierarchy_v0743_channel_direction_audit.json	665	042fc4bb2da25c23a8980e47a2c28134b417343fea65844d1c41a98d5329e45b
part1_production/configs/hierarchy_v074_effective_flow.json	832	54afae47fd7b5a4d4446880c58ca40a9d0d4aec3a047075be939a674a7f6a98f
part1_production/configs/hierarchy_v075_step1_symmetric_base.json	521	8c84e3d24072d00f4418cddf1b7562f551fb2c1ddb5b310b1d6f325670726bbf
part1_production/configs/hierarchy_v075_step2_directional_covector.json	548	d1f2a53b84e2bbcd6d31dbbbb046f28048cc59e91f65a8b8d459edf3f07af813
part1_production/configs/hierarchy_v075_step3_global_bound.json	384	d29d2a885a8cdb285caacd89023e3d9e6db246bbab807e7ef1685c279f0cb331
part1_production/configs/hierarchy_v075_step4_directional_norm.json	575	41091b0e312eb7eead88d1094ffdcdfd8942099fc8695f9deb924a1f5ef65389
part1_production/configs/hierarchy_v0761_pressure_tail_audit.json	381	b584d342457ae38f400bf5a69599f739f4990c308a4872b4fa2fc2b2843e3893
part1_production/configs/hierarchy_v07621_pressure_field_certificate_fix.json	255	7b2bf42d0625e6b730ec0f1da28181ce34d91484efde4ca649bef8dc047b7e4d
part1_production/configs/hierarchy_v0762_pressure_field_finalize.json	585	cd69a0c955d41873395e1ad0803fadc012316b37316674f0104e0eda49a59360
